#{"t_start": 1779571140.6202059, "env_id": "LunarLander-v3"}
r,l,t
-194.351612,71,0.343315
-293.35453,94,0.737264
-74.977194,94,1.230986
-327.873822,106,1.678526
-297.31756,139,2.193256
-387.196705,113,2.746264
-103.423243,99,3.278877
-379.218614,129,3.96625
-191.180796,134,4.585793
-334.781975,153,5.235605
-207.960291,172,6.235865
-211.151735,207,7.357518
-248.044731,165,8.508211
-197.331815,142,9.440224
-355.161329,173,10.563346
-437.915552,198,11.604151
-252.491704,265,13.14295
-220.293838,148,13.799679
4.695499,142,14.549692
-200.207886,181,15.561987
-255.327674,169,16.640429
174.127284,1000,24.39919
-223.099676,150,25.389135
-232.015492,321,27.397208
-165.515009,166,28.486181
-254.982159,224,29.773016
-152.062928,217,32.619938
-164.469498,154,33.557207
-44.478308,248,35.015501
-161.104415,320,36.88898
-89.974773,200,38.134957
-15.58971,284,39.927264
-58.722128,241,41.355462
106.396149,1000,47.459945
-172.776551,159,48.602798
-309.237875,246,50.287815
-320.745474,307,52.128492
-162.45227,144,52.827573
-222.933941,267,54.359436
-69.595231,169,55.181365
-4.039147,170,56.093056
-78.496152,269,57.920382
-264.680259,345,60.388473
115.387421,1000,70.053483
-240.974084,213,71.076273
-249.337413,191,72.036621
-195.691172,349,74.500134
-194.442165,222,76.161351
197.383279,1000,82.646117
-284.995087,281,84.716188
-29.255676,172,85.92451
39.18299,260,87.560173
39.19772,195,88.791562
-195.603326,208,90.045837
-211.506351,226,91.693711
-57.468075,184,92.884887
-148.923145,149,93.87477
-19.262515,304,96.196949
106.874677,1000,104.679697
20.489337,173,105.866366
-67.101294,313,108.268882
-77.472651,223,110.055161
-77.667718,313,112.292474
-171.195755,146,113.570563
-57.30653,115,114.288306
138.353552,1000,122.416769
-215.540955,362,124.931292
-250.022971,323,126.608847
146.42008,1000,134.618543
-229.175858,312,136.709326
-51.549257,291,140.144296
-135.882931,212,141.328601
-97.083843,329,143.517698
-102.134853,306,146.373189
-178.340047,151,147.363617
-236.21493,406,150.285505
-53.338877,214,151.761446
-90.897257,382,154.478767
-26.851513,170,155.466634
-115.497878,361,157.737823
-10.188582,176,159.004076
-23.756287,179,160.108092
-6.036005,247,161.584235
-199.997517,299,163.816687
67.432901,1000,170.362262
-19.170696,184,171.577693
