#{"t_start": 1779554399.6366932, "env_id": "LunarLander-v3"}
r,l,t
-171.140903,119,0.133441
-78.812218,72,0.199121
-199.447417,183,0.35354
-180.724555,128,0.462093
-300.006611,135,0.576082
-289.239974,97,0.656114
-157.704632,142,0.773932
-123.090096,104,0.857715
-193.16235,140,0.971242
-399.17465,99,1.05315
-568.061975,207,1.222503
-155.258813,325,1.491941
-282.927942,162,1.625974
-351.691807,111,1.719941
-282.262446,86,1.792309
-292.654252,119,1.889645
-351.231272,196,2.049574
-424.000838,82,2.117202
-456.186879,156,2.243366
-244.646259,114,2.332829
-350.116207,97,2.411911
-243.893715,99,2.493263
-326.351394,107,2.577907
-359.257861,86,2.650164
-289.024493,125,2.75517
-292.552492,220,2.939809
-87.724113,121,3.040164
-347.334088,225,3.22268
-474.813241,160,3.346835
-556.749025,172,3.484509
-352.123796,187,3.636152
-420.519276,169,3.768079
-470.487595,155,3.891816
-368.236664,83,3.961023
-124.682848,127,4.061113
-518.489949,253,4.575006
-247.948465,109,4.664548
-453.423588,219,4.847681
-290.978696,146,4.968791
-360.245353,143,5.087493
-126.380633,155,5.212655
-260.559093,130,5.318093
-78.136764,142,5.433085
-349.327528,149,5.55284
-152.065403,171,5.690668
-75.722005,130,5.795421
-54.567301,114,5.887858
-253.566559,222,6.067606
-129.947317,151,6.190544
-329.330126,174,6.332313
-192.78009,107,6.419807
-101.163435,122,6.520309
-53.262722,136,6.630265
-43.034588,127,6.732763
-104.104202,202,6.896744
-341.756852,194,7.05389
-334.976011,164,7.184921
-326.5807,169,7.319226
-380.391879,219,7.493412
-122.757963,135,7.60554
-115.344399,160,7.739546
-295.36489,191,7.898133
-163.918492,206,8.06705
-293.642152,184,8.221779
-111.32478,198,8.38775
-182.911529,269,9.467929
-255.946781,167,9.602522
-52.279336,109,9.691042
-194.129214,166,9.828676
-210.450563,147,9.951961
-268.14188,156,10.085789
-251.650584,133,10.190632
-206.735041,129,10.28758
-242.705509,253,10.47502
-230.062499,158,10.586357
-246.208955,221,10.744126
43.881589,1000,11.488223
-116.384092,187,11.626897
-124.646223,185,11.761819
-274.690571,305,11.981083
-76.627359,177,12.108052
-235.169137,191,12.24369
-236.27717,208,12.391103
-76.970081,171,12.512266
-250.049245,242,12.68359
69.835445,1000,14.528057
-56.499126,243,14.700136
-225.523544,187,14.834884
-200.320093,255,15.017021
-229.989743,329,15.248517
-9.895757,269,15.441593
-168.523475,170,15.568882
3.113005,168,15.691793
19.198506,118,15.779308
-61.258685,239,15.950832
-53.930568,236,16.124561
-28.33351,168,16.246257
-153.689622,173,16.369875
-209.979506,378,16.648464
-50.338955,115,16.732959
-51.861253,214,16.885113
-272.239808,367,17.146873
-166.993857,182,17.279221
-174.306451,125,17.36702
-116.157042,290,17.574935
0.060658,189,17.709609
-216.260913,274,19.149275
-102.417347,161,19.31536
-165.56997,143,19.426937
-180.396279,148,19.533944
73.300934,131,19.628218
-210.550998,259,19.814218
-149.480981,297,20.028569
78.692196,192,20.16759
-210.218926,224,20.329587
-45.219503,232,20.495158
-80.629429,242,20.666558
-202.700358,235,20.842012
-218.430939,334,21.081857
4.391932,261,21.266371
-40.450685,225,21.429475
-22.258996,163,21.549714
-235.427198,231,21.718635
-196.556189,279,21.920908
-50.904785,204,22.067192
-33.333197,240,22.235688
-162.485074,132,22.328988
-219.427693,339,22.570163
-63.751365,257,23.477441
-234.890448,239,23.650972
-200.95875,279,23.85417
-240.827807,186,23.98977
-38.410128,226,24.151987
-193.557092,195,24.293668
-201.500459,189,24.429784
-33.806126,317,24.658589
260.018375,258,24.845943
47.639493,261,25.027379
-44.204858,195,25.163105
-171.937518,239,25.333961
-223.439388,177,25.46065
-209.326873,262,25.651184
-33.276946,274,25.849345
-12.434089,171,25.973011
