#{"t_start": 1779568485.244459, "env_id": "LunarLander-v3"}
r,l,t
-155.335982,65,0.118984
-252.160037,98,0.290509
-242.835585,131,0.520653
-581.560209,192,0.781978
-370.728988,98,0.889547
-409.758686,186,1.109299
-479.535235,144,1.285752
-226.304643,129,1.503462
-424.684349,143,1.712127
-447.790905,122,1.867672
-430.943818,154,2.020086
-297.075581,174,2.251854
-512.755292,225,2.595572
-649.114354,238,2.905706
-158.648204,136,3.096229
16.413775,132,3.254864
-341.050795,217,3.486098
-145.25995,190,3.692397
-188.906105,165,3.959704
-51.014186,188,4.270123
-265.747896,214,4.593183
-263.600777,347,5.11436
-203.55804,227,5.399113
-200.415227,140,5.57034
-37.600009,116,5.761051
-253.873419,239,6.094491
-210.644446,216,6.322288
-17.704823,200,6.530166
79.29189,1000,7.566774
-42.235039,283,7.91389
-43.445003,273,8.211715
-238.319973,273,8.539029
-172.715241,183,8.784258
-172.789645,148,9.016798
-170.666375,260,9.297392
-35.932385,173,9.483881
-34.957978,305,9.793506
-33.824067,242,10.056572
-268.054492,365,10.466903
-283.708303,469,10.9663
-25.30259,257,11.310398
-63.286917,232,11.643321
-235.458702,251,11.980511
-184.414639,168,12.132872
-191.356794,212,12.333968
-240.08256,218,12.577151
203.908548,338,13.17531
-325.265376,204,13.489895
-148.035105,150,13.67379
232.707718,970,14.750324
-333.23415,423,15.326359
-234.642357,412,15.798727
260.369366,732,16.549885
220.650512,567,17.155882
2.542901,198,17.593494
5.337599,260,17.964645
-160.24006,281,18.627856
-51.799505,216,18.945537
-79.966142,297,19.323967
-223.462533,539,20.190981
191.404449,610,21.15153
-170.113126,248,21.444247
137.564878,839,22.464279
-78.45453,290,22.845768
-42.689503,298,23.237478
-74.540835,284,23.588828
-49.396554,352,24.043207
189.057732,579,24.833028
-193.354597,279,25.200538
-32.572725,285,25.575701
4.943274,292,25.952852
-79.042906,435,26.609357
-225.400507,285,27.007513
6.183444,171,27.255275
8.792208,194,27.53749
-200.597553,274,27.898139
194.956751,438,28.520314
225.571386,373,29.112315
-154.597018,202,29.422075
-34.767613,228,29.738932
-26.793273,179,29.972164
181.388669,657,30.983601
-5.225735,178,31.27239
-25.410208,180,31.571087
-36.535889,297,31.936754
-58.225732,231,32.235325
15.297909,263,32.623426
-146.84024,158,32.91273
-33.827121,355,33.507307
-221.372781,267,33.829932
-137.576589,191,34.040004
-21.46928,281,34.422474
-201.043952,225,34.672054
-9.051415,217,34.933177
-204.414985,215,35.16949
-4.240301,254,35.463939
-166.796286,297,35.909393
-5.104101,259,36.311925
-66.986605,220,36.619983
-225.242809,235,36.89903
271.476127,308,37.320235
306.156674,289,37.615011
-144.956218,284,37.925721
-42.136872,259,38.203754
-4.252639,163,38.39899
-204.024561,309,38.788415
-61.483024,409,39.298455
305.78249,212,39.522364
-53.757009,152,39.679067
2.535267,162,39.844169
-22.648872,150,39.982968
236.98869,341,40.533922
-21.642231,206,40.749178
-46.425462,151,40.990742
-18.28058,319,41.523017
19.677637,146,41.677123
-113.560466,138,41.806658
7.694709,250,42.057708
-132.098651,145,42.205664
179.920368,572,42.778867
251.394864,351,43.117023
-223.747053,172,43.282293
-44.757756,237,43.504107
-154.116957,96,43.617944
-170.993984,269,43.990155
-267.617954,168,44.229901
232.410413,477,44.871997
-24.626511,208,45.070018
-164.48007,81,45.151763
-35.789441,144,45.288198
-203.087582,248,45.607597
-38.608964,254,45.921772
-164.200308,233,46.255084
-87.665804,277,46.518657
-22.679539,302,46.875512
32.618605,180,47.101658
252.664658,284,47.468334
-28.465077,214,47.681923
-138.776172,83,47.756283
-198.772017,114,47.869979
-79.402143,97,47.958142
-52.589592,179,48.145204
0.24425,159,48.336478
171.891157,506,48.875739
20.718752,263,49.178829
-166.790887,133,49.301968
38.421764,172,49.469028
-217.959353,209,49.700804
-198.17418,216,49.931459
-70.918054,101,50.058724
278.738941,263,50.347549
-186.82596,126,50.511616
3.361763,157,50.727185
12.310384,189,50.931066
-66.005469,96,51.021568
-13.790965,87,51.106118
40.585774,206,51.298918
194.088874,402,51.703588
197.533108,647,52.416424
-246.751654,258,52.685294
-4.187852,204,52.90613
-181.667639,149,53.045116
234.729591,364,53.434469
-52.623469,237,53.683461
292.083304,397,54.104788
-146.155227,217,54.368055
36.284798,165,54.552994
241.466113,395,54.924786
-28.711371,217,55.184242
-51.999603,204,55.482462
225.765963,432,56.072697
-18.155627,282,56.621601
-16.035844,74,56.723433
-87.198009,85,56.831029
-71.903883,88,56.929264
-206.718481,83,57.020289
-154.680372,74,57.100338
8.740446,260,57.458329
-27.312063,193,57.690925
-2.401327,247,57.949297
-41.091616,134,58.096781
-28.961035,217,58.341007
-6.024716,310,58.680579
-39.44941,198,59.007632
-158.569022,131,59.203174
-43.178064,187,59.396628
-55.746014,101,59.489
204.068722,358,59.847945
-55.215049,136,59.985318
-161.496362,81,60.067298
217.262824,281,60.381449
-54.68304,112,60.565392
-148.362416,149,60.773922
-102.133305,66,60.847065
-72.47277,101,60.951501
-127.934076,67,61.031431
219.347381,286,61.310404
275.148085,249,61.60052
-20.294312,102,61.76966
-138.571472,148,62.098462
-172.151402,86,62.23486
253.867879,253,62.627423
236.628344,293,63.082562
-63.697405,133,63.268434
1.361467,211,63.602512
51.142305,169,63.931702
236.097591,307,64.323937
-14.882233,201,64.525792
62.605929,174,64.708168
-198.082542,87,64.789058
267.73747,285,65.072628
-141.586209,136,65.251623
242.090601,580,65.998365
13.286169,153,66.190528
21.396454,153,66.372051
-237.614867,93,66.489913
-17.473498,198,66.728631
-179.672127,91,66.837454
2.645579,190,67.112568
-9.505799,181,67.398061
-2.943802,90,67.501004
223.06712,389,67.911778
-105.7893,114,68.049115
-53.98264,100,68.185926
-7.769992,171,68.385857
-46.945964,84,68.485893
24.22741,118,68.62401
25.846131,183,68.84343
-124.185588,142,68.977409
-50.518293,83,69.055645
-12.082303,221,69.261592
-50.824813,250,69.501573
-185.75295,90,69.618906
-18.923023,101,69.759332
250.387161,343,70.13944
-1.939888,207,70.329601
-16.602148,222,70.664738
221.128038,352,71.160081
-14.37142,260,71.408577
253.300683,339,71.88059
32.894575,116,72.041806
-150.257161,134,72.229042
42.718999,108,72.37964
-169.458404,169,72.590151
260.637615,278,72.925305
38.141783,171,73.105282
-24.225936,145,73.284182
-42.699826,104,73.406417
-124.304234,92,73.505077
-147.425322,161,73.682744
260.245567,343,74.066009
-151.021555,157,74.328381
43.356946,202,74.611643
11.999012,125,74.738621
12.750074,143,74.89305
37.433948,171,75.128177
260.041265,339,75.597229
-76.507027,96,75.744437
14.534123,172,75.990463
-43.380745,223,76.300022
-35.7325,112,76.405116
55.135126,184,76.58233
-4.334138,219,76.792922
34.21514,202,76.979319
-2.065897,100,77.080469
-63.864222,257,77.350231
22.837212,148,77.492888
-19.543987,227,77.839209
205.737826,287,78.319064
44.176293,121,78.503546
43.149037,146,78.750778
-18.770857,193,79.057597
-29.907504,111,79.244188
-6.838012,146,79.592281
-2.787204,186,79.899524
-15.239818,152,80.120491
15.950378,141,80.324048
-4.442993,139,80.516811
-34.661911,169,80.750698
-46.117649,161,80.977165
59.222666,150,81.198845
-59.473295,167,81.438492
-40.900481,152,81.655872
-9.548838,163,81.89273
-24.138277,151,82.119077
-58.254991,126,82.301005
-73.602858,169,82.539616
0.358897,148,82.806532
-88.293645,161,83.031962
-39.250882,165,83.275224
52.326517,137,83.471938
-40.334401,180,83.719544
52.501181,167,83.943291
-27.758337,180,84.352283
9.401855,140,84.545163
-24.729097,163,84.765591
-35.53724,165,85.0404
-49.706779,152,85.372905
-40.771109,177,85.78437
-10.221229,140,86.082911
-34.705983,133,86.346851
-46.894203,142,86.624988
-39.005112,142,86.941513
-33.498787,135,87.160013
-8.843996,149,87.336387
-40.617136,164,87.536005
18.084445,153,87.720521
-16.600678,108,87.845338
-27.074296,169,88.021129
-24.100874,164,88.206214
-73.272343,231,88.46342
-57.109706,256,88.772483
-83.932375,515,89.344454
-97.358983,1000,90.479056
-58.604692,1000,91.617651
-134.775681,1000,92.925019
-176.455034,1000,94.531049
7.839588,1000,95.722589
-258.154353,230,95.936298
-150.623167,1000,97.126254
-145.021264,1000,98.471557
-125.657659,195,98.768037
-192.123937,229,99.085063
-138.897666,1000,100.317822
243.706722,393,101.019893
-145.455455,1000,102.93656
-51.12758,338,103.39097
-258.242668,435,104.141423
-241.039648,976,105.60123
277.562389,434,106.08977
-162.534656,1000,107.178462
-165.336835,229,107.409351
16.178075,240,107.650182
-188.697623,233,107.945938
-19.494282,239,108.192824
-228.908075,222,108.442982
-123.049863,1000,109.485116
227.373195,351,109.891636
-19.328964,239,110.171472
14.740448,174,110.345325
160.423293,725,111.146746
-207.943998,250,111.460295
-36.188391,228,111.721516
248.352309,381,112.161499
-188.134376,203,112.416057
-10.050804,216,112.716084
-168.979871,222,113.021942
-8.189516,340,113.36149
72.605557,142,113.486934
31.458292,189,113.675009
28.559915,303,113.972898
13.568061,152,114.121935
226.817306,423,114.579226
14.585894,155,114.725965
60.968282,215,114.931794
21.218469,158,115.083684
263.480188,353,115.466746
8.70005,235,115.74163
-15.977786,271,116.061368
290.980386,307,116.428061
155.530943,678,117.209852
18.802893,235,117.497024
217.380096,404,118.039781
-120.220864,80,118.169334
254.423755,267,118.57532
49.738746,224,118.907229
-11.654312,154,119.07913
-170.232851,148,119.269418
-126.927451,141,119.449557
-129.263254,149,119.64644
-40.98603,106,119.763819
27.58423,141,119.94504
215.893304,480,120.633365
52.640745,212,120.881952
26.304574,153,121.053186
192.756769,411,121.680372
259.231956,264,122.078179
132.946078,711,123.300815
224.163746,389,123.928879
183.19085,490,124.710814
-177.001195,208,124.989165
-31.499525,265,125.346549
169.897524,625,126.177601
17.061174,208,126.380056
-172.208551,140,126.517823
206.299036,415,126.980606
154.856269,398,127.644316
64.657157,132,127.843984
-92.341119,88,128.001778
-8.473164,154,128.223675
-160.861528,86,128.338955
