#{"t_start": 1779569205.449833, "env_id": "LunarLander-v3"}
r,l,t
-72.381404,111,0.152408
-73.044938,119,0.310229
-520.261061,117,0.457117
-508.925115,115,0.598563
-362.257939,88,0.709837
-611.327537,129,0.885384
-329.625188,85,0.993685
-401.733294,88,1.103688
-485.037469,92,1.213994
-199.115478,96,1.337194
-623.066937,108,1.470151
-456.99076,146,1.658049
-491.935086,115,1.79917
-138.324034,104,1.930033
-180.38532,83,2.041211
-425.80101,136,2.242134
-174.47493,153,2.461703
-207.717451,148,2.700951
-342.969366,162,2.921524
-490.297041,117,3.128647
-372.343088,89,3.284423
-516.36225,202,3.596128
-224.976503,201,3.917168
-416.764405,168,4.191119
-148.374054,140,4.387679
-475.072223,144,4.640906
-331.135586,169,4.899143
-430.448611,160,5.152831
-414.526961,154,5.418563
-283.853371,162,5.684354
-297.200091,155,5.945891
-43.794848,120,6.110197
-229.514993,133,6.286181
-35.684352,227,6.575892
-221.883721,160,6.7783
-130.188219,161,6.975468
-266.146702,221,7.331305
-15.822735,201,7.687106
-42.135106,110,7.848401
-162.966635,132,8.072463
-202.271438,222,8.478727
-17.500777,159,8.700291
-29.852374,254,9.016881
-137.165811,153,9.209499
-287.810078,269,9.547381
-229.992086,224,9.830044
-307.142001,367,10.3014
-191.656385,220,10.658538
-181.60028,145,10.903027
-33.723008,318,11.405694
-254.647456,387,11.950249
-219.015529,236,12.333649
-214.389875,283,12.735206
191.375242,656,13.755988
-229.403231,213,14.110709
-88.766605,237,14.474566
-187.405311,285,14.965579
-191.034652,222,15.326989
-52.883076,313,15.76313
-253.814911,404,16.286887
-222.204668,250,16.611091
-16.990535,168,16.828078
-69.431766,295,17.202585
-198.024951,249,17.518153
-53.996274,299,17.885401
-167.2414,221,18.162452
-76.376092,397,18.668594
-18.997161,235,18.971943
-204.781617,304,19.37126
-212.217903,260,19.704251
-225.42702,204,19.958753
-224.045427,322,20.368293
-180.486192,202,20.625828
-36.537412,270,20.971857
-34.015428,318,21.373091
89.056164,175,21.594426
-177.565765,302,21.969436
-207.35481,279,22.321558
-198.189052,266,22.65075
-23.735007,354,23.099217
-72.411654,275,23.468645
158.095524,1000,24.829392
-189.500108,216,25.097933
-268.1381,273,25.453537
-208.254555,208,25.716272
-99.4998,174,25.94012
-74.211896,270,26.282108
-205.907407,243,26.606524
-85.53151,229,26.899454
-182.205601,205,27.153476
-22.685063,197,27.402337
-42.898226,276,27.748174
-171.732033,141,27.915813
-159.943176,249,28.226044
-14.905242,251,28.536146
-212.156162,293,28.911862
-44.895365,201,29.161004
-61.011033,338,29.58166
211.524785,949,30.813023
-187.106605,302,31.189952
-232.411125,170,31.399338
-71.139839,221,31.676248
-62.433124,255,31.997136
214.592998,507,32.632961
-83.393994,372,33.099144
147.158909,630,33.912687
-83.360271,230,34.322651
