#{"t_start": 1779569659.5653353, "env_id": "LunarLander-v3"}
r,l,t
-285.696752,108,0.542269
-215.412762,136,1.118708
-343.420121,100,1.570782
-194.76438,106,1.993693
-100.654717,87,2.323154
-230.367646,86,2.642646
-65.782663,60,2.876303
-195.349645,142,3.439235
-281.309417,76,3.738511
-92.747232,103,4.151736
-219.545757,149,4.82544
-126.273615,87,5.132517
-325.901191,144,5.66341
-143.003027,93,6.037743
-115.807919,60,6.292608
-219.457319,106,6.731744
-24.672396,173,7.420847
-156.152445,102,7.816002
-106.029078,122,8.289637
-107.879594,116,8.76355
-122.49274,144,9.411358
-83.790488,131,10.002047
-49.380957,68,10.26757
-91.944688,94,10.629246
-116.783381,109,11.074781
-47.961698,70,11.354388
-24.657913,154,11.961771
-46.334003,93,12.310328
-94.284741,96,12.684713
-216.538283,118,13.225349
-103.523319,127,13.77931
-61.962487,164,14.472847
-115.624822,77,14.800569
-32.448267,147,15.377064
-57.400748,112,15.840429
-50.510385,67,16.146082
-48.469696,104,16.546135
-70.207482,118,17.114735
-1.584514,147,17.757501
-13.319318,165,18.420632
-60.715835,111,18.945301
-13.673175,81,19.344102
0.295801,134,19.960051
-8.200858,98,20.426805
-29.573006,92,20.786338
-23.34805,136,22.426337
-49.714741,108,22.875546
-49.825325,202,23.79238
-1.931386,179,24.585365
-24.001427,112,25.110118
-40.262184,98,25.547534
-17.064706,213,26.470978
-37.778233,123,27.062448
-41.489904,147,27.666174
-33.754905,162,28.349538
-146.702837,991,32.382883
-64.406989,269,33.629152
-183.121238,351,35.299229
-51.818478,1000,40.168247
-30.023356,1000,45.818149
-55.101574,1000,50.232043
-168.69296,232,51.228388
169.553624,505,53.428524
-109.706216,245,54.641899
-120.043427,246,55.78361
-284.468273,950,60.173566
-54.237585,1000,64.665906
-136.716227,711,67.888933
-35.357934,1000,73.634175
-4.822973,1000,78.367596
-50.607062,1000,83.014302
-22.238324,1000,87.865068
-12.730537,1000,92.173842
-71.977657,1000,98.222784
-28.698914,1000,102.628879
-48.388752,1000,106.895191
56.109086,1000,111.113938
58.286878,1000,115.670413
44.303756,1000,121.355111
-23.43209,1000,125.840776
-31.306517,1000,130.052856
3.616927,1000,134.668771
-83.313644,1000,139.23984
17.330791,1000,145.473346
134.605612,1000,149.80262
96.392747,1000,154.164592
155.971348,1000,159.133481
158.06728,429,161.098883
-120.397457,326,162.558969
153.797262,1000,168.543547
230.1055,190,169.354219
155.651223,1000,173.581411
-3.258338,112,174.04304
32.040074,1000,178.392533
185.354672,1000,183.42295
-34.741752,1000,188.797001
124.273365,1000,193.748811
-46.210871,1000,198.119086
-14.128314,138,198.680892
255.365972,319,200.062629
-56.813691,1000,204.596632
39.165727,166,205.451868
240.818821,306,206.744966
20.606904,154,207.362756
7.514414,116,207.921032
151.718771,1000,213.863501
145.447361,1000,218.236458
127.975838,1000,222.517921
168.12954,1000,226.799115
243.843145,586,229.246092
77.024955,1000,233.655062
1.398423,107,234.178864
194.810173,659,237.826747
124.306829,1000,242.559017
131.035728,1000,247.216173
124.146539,1000,251.662193
235.83747,322,253.174576
37.559082,99,253.591011
29.972156,96,254.032425
7.914858,111,254.507397
256.446387,843,258.891698
236.716118,482,261.133956
16.977644,102,261.622814
25.329343,1000,266.160232
17.024506,137,266.741186
71.344885,1000,271.189988
144.835545,1000,276.005536
56.86539,121,276.593889
283.023733,262,277.864906
34.676841,131,278.59734
37.123365,103,279.14327
14.229292,139,279.877287
271.893185,952,284.972783
153.737875,1000,289.46868
19.114729,114,289.930011
-27.993619,73,290.221809
248.005111,450,292.179502
58.938083,136,292.896837
-26.423652,117,293.48537
48.509489,143,294.227994
275.512107,304,295.652377
-26.219189,111,296.139508
133.209296,1000,300.940952
35.011338,102,301.379139
15.809335,117,301.893322
258.270849,332,303.361237
25.318271,113,303.836607
259.435264,379,305.50917
143.912718,1000,310.488589
254.785121,976,314.78343
284.368281,600,317.794059
144.77113,1000,322.541234
-550.623541,207,323.59965
-7.10252,159,324.380028
-302.964736,186,325.29543
143.977967,1000,330.812095
2.181349,115,331.341954
138.969906,1000,335.844712
31.374737,121,336.417558
275.539743,173,337.35409
280.826755,275,338.747724
149.825557,1000,343.327122
40.61028,94,343.764934
185.762125,239,344.89441
12.884812,84,345.290249
-10.078332,119,345.817409
-166.905616,104,346.332624
154.320867,1000,350.993131
-3.610617,133,351.589117
-87.333386,503,354.583399
99.948648,1000,359.323542
-170.592315,135,359.91168
7.319987,124,360.43102
-3.940349,132,361.01113
135.939021,1000,366.194717
-139.842954,370,367.904958
301.011223,257,369.273284
-82.546313,278,370.501405
-32.332821,81,370.864902
173.186694,1000,375.657657
190.861666,1000,381.144198
139.397136,1000,385.903001
246.748839,836,389.935778
245.4167,551,392.445683
109.867602,1000,397.069388
-250.930204,205,398.021688
14.823462,143,398.590464
104.879177,1000,403.715775
89.0892,1000,408.240303
111.706323,1000,413.531048
-46.369925,128,414.252846
172.362162,1000,419.125727
139.10649,1000,424.044622
153.641014,1000,429.891232
261.928392,563,432.940543
276.540122,349,434.505171
273.339305,776,437.999305
263.601812,451,440.212247
150.923886,1000,445.110832
150.426501,1000,449.522017
126.765343,1000,455.504563
226.971031,867,459.737316
123.404456,1000,464.454003
160.954748,1000,468.927235
128.258615,1000,473.691401
