#{"t_start": 1779566622.917152, "env_id": "LunarLander-v3"}
r,l,t
-137.776588,69,0.285321
-226.50443,126,0.792555
-143.139827,87,1.110063
-163.176139,68,1.37284
-128.332703,85,1.711869
-101.087845,98,2.117583
-108.882731,80,2.422925
-83.19675,68,2.686027
-175.087349,70,2.963197
-137.849327,108,3.404475
-100.267176,76,3.703221
-48.691194,109,4.120845
-103.330182,97,4.52273
-134.431705,101,4.916666
-109.37931,109,5.359384
-16.203611,138,5.921665
-294.564473,117,6.359478
-114.876643,104,6.744783
-76.081356,142,7.302918
-139.534404,117,7.797286
-45.460794,90,8.143867
-68.467748,116,8.589041
-114.597627,207,9.421363
-28.71768,159,10.075493
-54.214009,190,10.987999
-90.035154,83,11.321433
-7.706261,170,11.963076
4.908316,137,12.519454
51.337069,354,14.010108
-234.834008,942,18.01382
-59.026841,1000,22.038084
39.215943,146,22.634032
-132.338621,1000,26.519569
-73.618956,1000,31.035317
-139.564003,232,31.905396
20.531359,175,32.558256
-38.949286,1000,37.054291
-51.536415,1000,41.230147
-8.575426,1000,45.593588
29.132382,1000,49.615331
-22.37948,1000,53.579168
-13.276351,221,54.42376
-13.216552,1000,58.457845
-3.498474,1000,62.824321
-70.980052,1000,67.28734
13.512877,1000,71.743949
-21.341721,1000,76.032583
-63.359323,1000,80.384121
112.354121,1000,84.875614
122.657967,1000,89.074725
35.600604,253,90.050751
186.922929,777,93.235855
222.577472,788,96.314822
-200.847327,283,97.40393
-242.994698,243,98.425683
197.587855,965,103.201601
223.330354,971,107.697598
225.498947,351,109.197157
106.43464,1000,113.2528
120.659047,1000,117.471618
253.327202,757,120.573175
134.695125,1000,124.741423
134.072456,1000,128.773655
229.571897,451,130.500947
15.862941,148,131.075346
279.914204,482,132.9044
183.471856,598,135.236714
-13.631061,155,135.818464
258.823221,212,136.644527
269.282079,356,138.203692
-87.967316,121,138.711627
-20.885175,125,139.235255
45.496734,157,139.934771
128.358806,1000,144.24686
265.63485,253,145.273677
293.413182,549,147.736549
13.934844,143,148.298428
275.941177,299,149.683834
149.729665,1000,153.912076
153.096714,1000,157.770937
255.136933,957,161.633101
17.895584,117,162.07735
290.144401,318,163.316845
148.270586,1000,167.399684
269.482956,660,170.012892
32.775742,95,170.478893
-195.151237,91,170.915515
262.269717,300,172.225909
62.415451,156,172.936239
249.171129,754,176.166304
251.648522,494,178.405796
288.290769,511,180.36252
19.157353,98,180.718008
50.509621,157,181.297352
151.425239,1000,185.7983
71.500164,148,186.55575
6.436064,153,187.197639
257.869677,688,190.176243
158.159548,1000,194.350457
149.971368,1000,198.486551
169.57342,1000,202.413759
-113.812973,78,202.707246
177.156881,1000,206.877661
228.447749,510,209.018882
