#{"t_start": 1779570140.3901892, "env_id": "LunarLander-v3"}
r,l,t
-219.52073,73,0.297096
-101.396723,69,0.562509
-103.864598,84,0.996963
-112.741067,77,1.379708
-230.706472,94,1.84846
-385.173017,103,2.306249
-141.710906,61,2.564458
-143.502867,98,2.977
-347.224144,81,3.317324
-214.400846,73,3.601535
-76.299568,64,3.832947
-265.222639,96,4.348237
-126.191882,68,8.598075
-166.219377,106,9.108719
-106.509022,84,9.535213
-57.363031,65,9.858986
-154.828793,122,10.596643
-143.288396,120,11.278827
5.659567,116,11.981532
-145.351378,82,12.413175
-130.907738,86,12.811464
-138.387775,99,13.245331
-84.576564,72,13.587156
-83.089497,78,17.588027
-72.712653,96,17.921835
-136.651929,108,18.317819
-145.345204,125,18.774013
-79.08559,67,19.01092
-54.934611,67,19.25229
-122.558595,77,19.537425
-96.985615,65,19.79611
-131.074596,130,20.314752
-108.521417,118,20.736866
-250.809443,139,21.256398
-102.146447,109,25.468896
-96.346271,110,26.059876
-156.813361,129,26.508152
-80.10827,81,26.808017
-231.268967,111,27.230129
5.507619,109,27.635413
-118.416813,82,27.954269
-115.220607,100,28.316947
-108.480426,75,28.712992
-73.415562,122,29.278722
-114.141517,89,34.299907
-32.718991,87,34.756884
-49.462348,78,35.088605
-70.543027,99,35.593239
-90.224117,75,35.970697
-115.432986,84,36.382685
-98.604532,76,36.766173
-96.772963,75,37.122555
-107.356011,100,37.64373
-96.630094,104,38.199905
-101.39511,71,39.189993
-102.393176,105,43.354296
-74.352085,89,43.663452
-84.205148,100,44.075934
-75.769026,74,44.372887
-60.30458,96,44.770956
-65.771771,108,45.166739
-30.474876,118,45.578138
-93.839351,72,45.829669
-81.553794,102,46.201393
-80.092194,107,46.630189
-39.634852,118,47.146526
-82.629692,100,50.844924
-62.040134,103,51.23219
-54.81927,105,51.623826
-53.839581,134,52.196239
-25.020396,69,52.461755
-59.082916,96,52.834029
-102.509671,95,53.209604
-35.303251,117,53.690898
-10.946611,78,54.031608
-60.42573,125,54.69342
-64.24712,95,58.750621
-73.618916,98,59.095293
-38.054284,141,59.652994
-51.77268,92,60.029823
-59.648145,80,60.366059
-40.748127,90,60.774024
-50.758414,128,61.34554
-49.198297,141,61.992629
-2.154384,80,62.355682
-28.808911,68,62.6802
-35.143561,89,66.880539
-54.569247,123,67.561242
-71.908353,78,67.886773
-0.458039,98,68.286504
-30.054034,105,68.702718
-28.164337,103,69.130386
-7.8235,95,69.67649
-38.298554,106,70.153542
-10.211225,136,70.654696
-74.74908,113,71.078254
31.545915,183,75.635166
76.136172,1000,85.878983
-11.049027,128,86.521665
26.173639,129,87.338223
4.414658,136,88.324765
36.907511,158,89.530788
-43.836965,108,90.476356
-26.33333,131,92.070767
-59.720187,199,99.067251
-11.337206,145,101.839628
14.909338,1000,122.343103
-8.575832,1000,142.403606
