#{"t_start": 1779554098.2802474, "env_id": "LunarLander-v3"}
r,l,t
-144.710926,126,0.05907
-119.873199,78,0.087194
-185.423114,64,0.110744
-378.536317,103,0.149456
-94.028037,74,0.17706
-134.417081,82,0.207725
-69.770095,69,0.233947
-80.345992,66,0.25909
-98.433043,99,0.295164
-128.72135,86,0.32653
-106.93548,63,0.349797
-210.399972,123,0.529038
-372.252583,98,0.565508
-368.782428,69,0.58962
-76.267167,83,0.619087
-543.590625,122,0.661711
-194.453107,79,0.690117
-231.93274,78,0.717549
-227.087507,101,0.752734
-74.426347,62,0.774522
-204.845241,67,0.798252
-42.484885,64,0.822219
-124.717737,100,0.858514
-439.535591,98,1.027264
-219.555042,83,1.058451
-403.561103,92,1.092229
-166.225349,111,1.132821
-83.032187,58,1.154399
-135.334656,95,1.189665
-133.636171,107,1.228096
-339.97869,151,1.282758
-106.555071,87,1.31591
-364.368199,96,1.351423
-144.039403,80,1.381534
-61.077918,91,1.537985
-73.144802,78,1.5666
-239.857397,83,1.597474
-287.309244,93,1.632458
-117.923655,131,1.681626
-142.978047,105,1.720296
-145.218491,100,1.759669
-143.986814,104,1.799609
-19.539477,114,1.842427
-522.487934,105,1.882274
-156.699856,110,2.052261
-239.126711,97,2.086468
-73.729313,108,2.127768
-38.699244,81,2.157336
-117.941047,95,2.191935
-153.439795,68,2.217482
-101.267185,97,2.252576
-285.956927,97,2.286604
-186.99739,100,2.323747
-83.674643,114,2.365227
-34.158333,79,2.582935
-330.911602,129,2.752216
-199.740724,105,2.790169
-136.998473,68,2.814782
-324.504412,118,2.857709
-245.995585,85,2.888368
-97.498703,96,2.922617
-48.825866,126,2.967147
-131.629503,106,3.005249
-137.974114,81,3.034472
-74.965027,76,3.061179
-75.18048,72,3.08673
-176.467824,67,3.237006
-355.762191,126,3.283937
-92.594981,116,3.326193
-253.012374,94,3.359145
-275.636865,136,3.40978
4.397767,119,3.453598
-190.089323,127,3.50051
-231.427279,132,3.549455
-294.125154,107,3.588878
-168.541851,91,3.749521
-147.296385,104,3.790603
-74.159511,61,3.815455
-124.051841,72,3.842403
-183.519247,110,3.884362
-58.361618,83,3.914997
-81.294362,149,3.971669
-83.09917,132,4.017974
-98.845319,84,4.049198
-112.157767,115,4.09174
-114.329478,83,4.254617
-100.324361,118,4.29834
-428.259093,131,4.350571
-142.665674,85,4.384135
-282.565395,120,4.43067
-200.816685,75,4.460213
-30.210614,121,4.506639
-101.176421,100,4.545452
-91.172216,84,4.578492
-129.088267,98,4.614409
-222.976133,91,4.771455
-121.40742,81,4.80159
0.454173,76,4.829542
-93.227759,98,4.864792
-101.610508,119,4.908456
-101.542246,86,4.940854
-72.655381,105,4.980885
-115.567975,104,5.019606
-81.185693,80,5.278728
-130.709836,79,5.308032
-117.150289,92,5.340564
-119.881046,85,5.496826
-195.164724,115,5.539679
-105.299694,111,5.58086
-280.469185,114,5.62284
-62.73695,99,5.660311
-72.109909,98,5.695332
-220.609072,98,5.728633
-97.118335,154,5.784682
-99.240477,89,5.816209
-89.335139,77,5.843203
-123.84761,74,5.997954
-160.739006,109,6.038605
-102.149737,89,6.073019
-102.352402,112,6.115659
-136.659657,109,6.157504
-63.279398,136,6.210941
-212.71982,95,6.246423
-80.918336,117,6.293336
-290.370281,142,6.34763
-43.405766,191,6.552884
-156.275954,95,6.589525
-120.386444,152,6.648827
-69.569702,142,6.702851
-79.634018,82,6.742246
-35.657502,73,6.78396
-86.492514,140,6.845396
-127.408771,98,6.882823
-79.942572,117,6.92722
-54.364058,110,7.101454
-50.31549,80,7.134473
-18.065169,104,7.172361
-141.227105,142,7.223239
-69.784948,106,7.261055
-44.069142,116,7.30286
-151.280722,121,7.346632
-249.83328,119,7.388896
-51.909803,85,7.418823
-105.630473,97,7.584778
-185.301656,132,7.634028
-37.556153,80,7.663571
-53.349887,78,7.69259
-106.956367,100,7.730057
-77.934182,124,7.773973
-157.44384,103,7.811211
-47.258662,131,8.234797
-117.982426,132,8.287726
-149.007157,72,8.316586
-191.992232,135,8.501044
-67.502866,101,8.537209
-52.409332,70,8.561809
-49.006878,120,8.604945
-101.505353,135,8.652973
-285.390727,100,8.689194
-159.348844,133,8.737452
-101.941946,116,8.778386
-50.557861,79,8.807527
-116.514428,79,8.967907
-104.697839,86,8.999372
-19.245449,145,9.051253
-78.424677,81,9.080463
-19.11441,137,9.132637
-79.52603,120,9.178219
-34.169405,145,9.231753
-82.326703,103,9.270039
-89.141682,100,9.307934
-68.490022,76,9.335963
-125.128566,100,9.504709
-10.631014,149,9.558963
-93.863782,114,9.600486
-160.212232,116,9.64318
-189.804711,129,9.689028
-60.204294,88,9.719696
-127.992544,103,9.757735
-61.007899,86,9.787852
-35.348173,84,9.818751
-44.654052,66,9.843453
-103.301228,125,10.020827
-125.711772,92,10.055427
-119.755996,106,10.094602
-55.486403,64,10.119532
-219.512286,95,10.151524
2.752507,96,10.185441
-80.667204,122,10.22787
-164.151365,125,10.27108
-67.862132,174,10.32857
-176.166583,131,10.484766
-78.797924,83,10.512508
-143.421195,110,10.549342
-6.390607,139,10.595717
-286.891788,130,11.020125
-63.499099,104,11.057932
-58.524811,125,11.101643
-38.835214,85,11.129605
-64.111609,77,11.156354
-158.031071,114,11.310885
-47.702134,95,11.342633
-65.413509,108,11.379358
-88.854546,191,11.44401
-63.924475,103,11.47988
-146.547143,150,11.53032
-12.152443,103,11.565986
-87.767789,117,11.605042
-70.712468,97,11.638352
-16.13196,120,11.790838
8.244331,144,11.839845
-71.552436,144,11.888574
-24.033439,138,11.93434
-58.838503,110,11.971142
-104.535653,99,12.002856
-73.121092,119,12.042737
-59.688245,81,12.070929
-50.343285,78,12.097013
-88.267348,102,12.241972
-52.311112,72,12.266942
-47.530612,92,12.297574
-79.576082,94,12.328358
-62.031323,74,12.353042
-6.329836,137,12.39908
-26.089041,69,12.422093
-81.446562,73,12.446526
-41.224798,75,12.473547
-49.08479,136,12.518701
-28.512181,81,12.545541
-53.755702,144,12.703724
-48.165299,73,12.728649
-23.398976,87,12.757904
-67.901478,87,12.787595
-64.276908,92,12.818747
-12.637644,104,12.854512
-4.486187,128,12.898146
-27.618109,96,12.930367
-67.244034,90,12.959961
-40.461144,119,12.999045
-66.663125,94,13.140069
-113.949964,92,13.171853
-66.81757,92,13.203573
-43.595187,77,13.229779
-48.014393,116,14.226372
-28.263941,102,14.262051
-45.735741,116,14.301204
-53.465044,97,14.333244
-58.1997,112,14.370528
-66.081438,122,14.410657
-5.47821,85,14.551204
-73.456566,75,14.577438
-94.587904,230,14.653526
-30.736001,143,14.701643
-94.076892,90,14.732451
-62.997728,98,14.766191
-110.607351,94,14.7978
-51.661068,124,14.838696
-83.965609,150,14.999997
-128.889091,102,15.03505
-122.415663,93,15.067513
-79.806697,120,15.10739
-55.555282,100,15.140917
-106.392683,98,15.175638
-34.526597,129,15.220555
-58.324351,121,15.262558
-235.281528,135,15.308132
-20.698296,152,15.474249
9.931584,103,15.509834
-118.175598,82,15.538321
-13.365171,133,15.584426
-28.472704,167,15.640508
-13.805834,159,15.695116
-52.546125,119,15.736166
-68.067177,107,15.773051
-64.115536,113,15.922478
-20.602942,137,15.970476
-33.406689,117,16.010178
-36.976755,107,16.046581
-50.279731,157,16.099429
-58.691974,115,16.137727
-90.150615,209,16.207879
-53.940476,84,16.236874
-83.857873,85,16.267358
-27.298653,125,16.419872
-61.239375,99,16.45307
-46.004624,101,17.001239
-57.083955,103,17.036306
-46.343326,113,17.075274
-15.123389,92,17.105376
-27.968671,156,17.157012
-38.895225,154,17.209619
20.484024,143,17.36694
-23.002366,163,17.421381
-97.707079,85,17.449883
-64.124233,148,17.499672
-107.308411,126,17.541471
-73.064648,103,17.576537
-51.713349,77,17.601665
18.96829,95,17.633736
-65.129656,85,17.661662
-73.900899,111,17.810558
4.441207,166,17.866899
-33.451957,108,17.902445
-7.1668,197,17.968397
-49.155775,171,18.024483
18.615709,218,18.098751
-75.808911,108,18.134609
-58.475148,138,18.294044
-97.839338,84,18.321845
-44.429289,152,18.372775
-3.128539,173,18.43126
-38.512647,226,18.505458
16.481533,143,18.552986
-107.655553,114,18.592509
-39.908958,96,18.734504
-3.670647,154,18.786401
30.015033,150,18.836675
-231.870049,127,18.879401
-36.258321,1000,19.651718
-113.178522,250,19.735206
-75.064844,103,19.770016
24.674926,1000,20.235044
-146.80844,176,20.293705
-122.705112,106,20.439063
-37.024488,97,20.473228
-156.772818,129,20.515969
-71.583066,134,20.561342
45.025603,1000,21.017853
12.247477,115,21.05723
-97.224873,186,21.118552
37.521044,1000,21.58071
-22.809243,134,21.625703
-187.19037,116,21.665805
-44.017518,125,21.819331
-53.422589,130,22.413821
-52.253593,138,22.461981
-14.832016,140,22.50733
-61.048936,113,22.544737
-56.003036,86,22.573369
56.619634,1000,23.028405
3.715339,184,23.090566
18.118884,121,23.130671
-44.977851,151,23.298868
12.808017,127,23.341062
-46.988474,84,23.370175
-42.524474,84,23.397945
6.974514,110,23.436248
-50.410175,94,23.469425
47.121668,122,23.509977
-30.969274,117,23.549706
-70.32733,98,23.582852
21.184292,191,23.759574
-10.544339,111,23.797453
-60.509031,117,23.835707
-130.565181,116,23.87378
-3.562265,168,23.9293
18.930576,167,23.984232
-18.268997,117,24.023351
3.613136,112,24.06171
-49.481182,175,24.232564
-74.678377,212,24.305689
-1.215437,128,24.349228
3.570291,115,24.390918
-1.904217,160,24.445824
-26.417597,202,24.51305
-240.807127,172,25.073175
-22.400819,113,25.113032
-20.521613,144,25.163043
-194.652429,181,25.227566
-114.33307,161,25.282074
-14.72505,127,25.326119
-4.559036,182,25.38861
-29.473609,1000,25.840072
34.303497,1000,26.294686
18.722374,101,26.439799
6.587219,168,26.497571
-98.528621,170,26.553575
-109.723306,192,26.617271
-212.027785,308,26.722882
18.293108,1000,27.177257
-35.464405,124,27.874109
7.242165,160,28.038361
-13.380361,163,28.092839
-43.732228,197,28.158742
-21.335939,134,28.204262
-72.09054,128,28.246462
-2.864111,126,28.289735
17.824555,185,28.350958
-8.588513,209,28.533274
-40.669905,107,28.571117
-70.605895,192,28.633027
3.246971,128,28.675302
-24.326258,146,28.724448
44.379849,1000,29.179941
-84.51832,157,29.23351
-151.952736,267,29.431214
75.986825,1000,29.882838
-119.931117,264,29.969938
30.674141,155,30.022532
-127.418945,446,30.603579
-30.653935,167,30.774274
12.478823,179,30.834912
25.72677,1000,31.292155
-63.643075,245,31.372467
80.47546,1000,31.83006
-69.010839,175,31.891133
-28.992353,152,31.943693
-52.82093,169,32.00103
-31.582769,186,32.173076
8.721714,171,32.230987
15.518217,210,32.300722
-20.636071,200,32.367677
9.091551,196,32.433649
-47.127002,157,32.600198
6.493063,155,32.653286
22.394216,107,32.691783
22.212429,161,32.747709
-5.87256,148,33.479926
-34.449904,159,33.538544
11.243325,138,33.585521
-18.808875,167,33.754068
-31.758665,123,33.796191
23.645039,156,33.847542
5.958568,148,33.897197
-16.076927,169,33.95418
31.141396,144,34.003531
23.858068,186,34.067276
-1.230526,145,34.227156
87.609058,1000,34.682947
-29.02114,143,34.731709
-84.216875,181,34.792351
-26.208074,148,34.840292
47.383013,1000,35.30128
49.447758,1000,36.54203
51.548884,144,36.591863
-43.052792,122,36.632991
17.535292,149,36.684124
90.461585,1000,37.138135
71.982907,1000,37.591831
-29.626481,119,37.631397
-22.512894,190,37.80699
65.709593,1000,38.267825
66.444249,189,38.332618
-13.926736,244,38.414381
37.100844,171,38.471826
125.025238,1000,39.660411
-42.108694,207,39.730163
-6.626707,202,39.908161
24.463162,205,39.97751
93.938783,1000,40.43084
-167.919407,276,40.523257
-38.461444,185,40.586723
4.896961,152,40.637265
142.31025,1000,41.095987
-83.223083,184,41.270672
133.602828,1000,41.726282
4.52058,186,41.790367
77.187722,1000,42.960531
27.69963,172,43.018893
168.706566,1000,43.476988
93.738883,1000,43.93165
127.934757,1000,44.385075
33.574302,209,44.45645
-33.896068,200,44.523966
-1.959912,205,44.593465
-14.379398,155,44.758578
-30.209096,191,45.687189
-24.712036,246,45.775159
-31.349498,210,45.84398
-60.427752,243,45.924171
47.607202,193,46.098996
-3.047322,274,46.193391
143.380224,1000,46.667731
70.721705,1000,47.132616
89.773029,1000,47.594287
-26.23715,160,47.647733
-87.320945,182,47.709936
-114.663024,278,47.80384
138.629969,1000,49.114879
-1.857843,204,49.295829
-47.357448,200,49.364584
107.139248,1000,49.819021
10.807477,244,49.899293
110.157365,1000,50.35425
92.367233,1000,50.821494
-142.036007,306,50.927043
-161.206754,227,51.44028
92.373799,1000,51.897826
-89.660747,250,52.096853
-109.932187,413,52.236891
-74.436203,212,52.309436
-83.363537,205,52.381409
-72.207797,222,52.568064
-89.252554,294,52.664374
-7.271664,277,52.75899
-57.203921,336,52.978923
-132.908189,288,53.073816
148.864179,1000,53.523453
-78.836687,240,53.601866
138.993309,1000,54.74587
-105.959358,219,54.820607
-61.62439,371,55.056984
-72.247543,304,55.157838
-67.284073,280,55.252201
-53.749919,306,55.467613
110.478879,1000,55.818405
-30.388453,308,56.036943
-216.220234,363,56.163439
-4.519389,370,56.403655
-99.237688,293,56.503768
-90.407881,326,56.616063
57.124158,1000,58.152588
19.149075,276,58.246623
-14.32548,270,58.451535
54.943049,1000,58.906494
103.488451,1000,59.374572
113.51151,1000,59.826638
77.224041,1000,60.598259
-50.711346,344,60.715664
142.349854,1000,61.174839
