#{"t_start": 1779553385.893501, "env_id": "LunarLander-v3"}
r,l,t
-144.710926,126,0.057824
-119.873199,78,0.086177
-185.423114,64,0.108279
-378.536317,103,0.1437
-94.028037,74,0.168967
-134.417081,82,0.196681
-69.770095,69,0.222057
-80.345992,66,0.245564
-98.433043,99,0.278893
-128.72135,86,0.307567
-106.93548,63,0.328783
-210.399972,123,0.504518
-372.252583,98,0.541714
-368.782428,69,0.568155
-76.267167,83,0.596746
-543.590625,122,0.638614
-194.453107,79,0.665577
-231.93274,78,0.691466
-227.087507,101,0.726355
-74.426347,62,0.748815
-204.845241,67,0.772041
-42.484885,64,0.793511
-124.717737,100,0.827311
-439.535591,98,0.978199
-219.555042,83,1.009098
-403.561103,92,1.040851
-166.225349,111,1.078823
-83.032187,58,1.101742
-135.334656,95,1.134246
-133.636171,107,1.16982
-339.97869,151,1.224354
-106.555071,87,1.254615
-364.368199,96,1.286195
-144.039403,80,1.317153
-61.077918,91,1.465531
-73.144802,78,1.49353
-239.857397,83,1.523941
-287.309244,93,1.556973
-117.923655,131,1.605922
-142.978047,105,1.642505
-145.218491,100,1.676709
-143.986814,104,1.711382
-19.539477,114,1.750257
-522.487934,105,1.785099
-156.699856,110,1.937779
-239.126711,97,1.970254
-73.729313,108,2.008587
-38.699244,81,2.036845
-117.941047,95,2.069772
-153.439795,68,2.094345
-101.267185,97,2.129066
-285.956927,97,2.161303
-186.99739,100,2.196534
-83.674643,114,2.235837
-34.158333,79,2.26209
-330.911602,129,2.424401
-199.740724,105,2.463026
-136.998473,68,2.486013
-324.504412,118,2.52874
-245.995585,85,2.559082
-97.498703,96,2.593004
-48.825866,126,2.636698
-131.629503,106,2.672584
-137.974114,81,2.700107
-74.965027,76,2.725954
-75.18048,72,2.751833
-176.467824,67,2.888522
-355.762191,126,2.934277
-92.594981,116,2.973959
-253.012374,94,3.005471
-275.636865,136,3.053729
4.397767,119,3.094503
-190.089323,127,3.138558
-231.427279,132,3.182185
-294.125154,107,3.219514
-168.541851,91,3.365228
-147.296385,104,3.402632
-74.159511,61,3.424348
-124.051841,72,3.450361
-183.519247,110,3.486463
-58.361618,83,3.515989
-81.294362,149,3.568295
-83.09917,132,3.613833
-98.845319,84,3.643115
-112.157767,115,3.68181
-114.329478,83,3.832163
-100.324361,118,3.873552
-428.259093,131,3.922239
-142.665674,85,3.952761
-282.565395,120,3.993474
-200.816685,75,4.022357
-30.210614,121,4.065293
-101.176421,100,4.100201
-91.172216,84,4.128647
-129.088267,98,4.162369
-222.976133,91,4.313534
-121.40742,81,4.342529
0.454173,76,4.369456
-93.227759,98,4.405648
-101.610508,119,4.448885
-101.542246,86,4.478477
-72.655381,105,4.516007
-115.567975,104,4.552814
-81.185693,80,4.581787
-130.709836,79,4.610894
-117.150289,92,4.644265
-119.881046,85,4.807678
-195.164724,115,4.851501
-105.299694,111,4.889477
-280.469185,114,4.930046
-62.73695,99,4.963571
-72.109909,98,4.99648
-220.609072,98,5.030077
-97.118335,154,5.084495
-99.240477,89,5.116551
-89.335139,77,5.143338
-123.84761,74,5.281327
-160.739006,109,5.319424
-102.149737,89,5.349825
-102.352402,112,5.388103
-136.659657,109,5.425662
-63.279398,136,5.472009
-212.71982,95,5.502383
-80.918336,117,5.543652
-290.370281,142,5.592437
-43.405766,191,5.769869
-156.275954,95,5.802442
-120.386444,152,5.855356
-69.569702,142,5.905174
-79.634018,82,5.93403
-35.657502,73,5.959031
-86.492514,140,6.005112
-127.408771,98,6.039187
-79.942572,117,6.079771
-54.364058,110,6.231431
-50.31549,80,6.259032
-18.065169,104,6.293465
-141.227105,142,6.345696
-69.784948,106,6.382084
-44.069142,116,6.424902
-151.280722,121,6.467684
-249.83328,119,6.507458
-51.909803,85,6.537668
-105.630473,97,6.687155
-185.301656,132,6.734467
-37.556153,80,6.761784
-53.349887,78,6.787466
-106.956367,100,6.822083
-77.934182,124,6.864186
-157.44384,103,6.898193
-47.258662,131,6.943414
-117.982426,132,6.986701
-149.007157,72,7.013449
-191.992232,135,7.173216
-67.502866,101,7.208213
-52.409332,70,7.23294
-49.006878,120,7.272974
-101.505353,135,7.320841
-285.390727,100,7.354512
-159.348844,133,7.398925
-101.941946,116,7.440805
-50.557861,79,7.467283
-116.514428,79,7.609381
-104.697839,86,7.640944
-19.245449,145,7.689672
-78.424677,81,7.717204
-19.11441,137,7.763513
-79.52603,120,7.802964
-34.169405,145,7.854179
-82.326703,103,7.888355
-89.141682,100,7.924848
-68.490022,76,7.952026
-125.128566,100,8.099725
-10.631014,149,8.15251
-93.863782,114,8.189978
-160.212232,116,8.23126
-189.804711,129,8.274234
-60.204294,88,8.303087
-127.992544,103,8.339512
-61.007899,86,8.368367
-35.348173,84,8.397313
-44.654052,66,8.420707
-103.301228,125,8.578099
-125.711772,92,8.610899
-119.755996,106,8.649959
-55.486403,64,8.672372
-219.512286,95,8.703913
2.752507,96,8.739904
-80.667204,122,8.781665
-164.151365,125,8.825784
-67.862132,174,8.884415
-176.166583,131,9.061594
-78.797924,83,9.090081
-143.421195,110,9.131451
-6.390607,139,9.178232
-286.891788,130,9.223623
-63.499099,104,9.259324
-58.524811,125,9.3013
-38.835214,85,9.333318
-64.111609,77,9.359614
-158.031071,114,9.51109
-47.702134,95,9.545703
-65.413509,108,9.583758
-88.854546,191,9.652803
-63.924475,103,9.687081
-146.547143,150,9.741052
-12.152443,103,9.775398
-87.767789,117,9.816713
-70.712468,97,9.850494
-16.13196,120,10.005648
8.244331,144,10.055938
-71.552436,144,10.106217
-24.033439,138,10.156429
-58.838503,110,10.192683
-104.535653,99,10.226593
-73.121092,119,10.266033
-59.688245,81,10.292463
-50.343285,78,10.318627
-88.267348,102,10.465383
-52.311112,72,10.490166
-47.530612,92,10.522663
-79.576082,94,10.556188
-62.031323,74,10.58232
-6.329836,137,10.629468
-26.089041,69,10.653602
-81.446562,73,10.677896
-41.224798,75,10.702864
-49.08479,136,10.74989
-28.512181,81,10.776863
-53.755702,144,10.936588
-48.165299,73,10.961632
-23.398976,87,10.990145
-67.901478,87,11.020256
-64.276908,92,11.051777
-12.637644,104,11.087474
-4.486187,128,11.131971
-27.618109,96,11.164436
-67.244034,90,11.195016
-40.461144,119,11.236724
-66.663125,94,11.379188
-113.949964,92,11.410282
-66.81757,92,11.442871
-43.595187,77,11.469944
-48.014393,116,11.508725
-28.263941,102,11.5455
-45.735741,116,11.585806
-53.465044,97,11.619253
-58.1997,112,11.659364
-66.081438,122,11.7007
-5.47821,85,11.844598
-73.456566,75,11.870177
-94.587904,230,11.949569
-30.736001,143,11.997578
-94.076892,90,12.028728
-62.997728,98,12.062704
-110.607351,94,12.09493
-51.661068,124,12.137769
-83.965609,150,12.29878
-128.889091,102,12.334832
-122.415663,93,12.366029
-79.806697,120,12.404919
-55.555282,100,12.439588
-106.392683,98,12.47266
-34.526597,129,12.514812
-58.324351,121,12.56
-235.281528,135,12.606658
-20.698296,152,12.776452
9.931584,103,12.811548
-118.175598,82,12.841023
-13.365171,133,12.885943
-28.472704,167,12.942859
-13.805834,159,12.995759
-52.546125,119,13.037948
-68.067177,107,13.075574
-64.115536,113,13.224758
-20.602942,137,13.272068
-33.406689,117,13.311117
-36.976755,107,13.348416
-50.279731,157,13.400247
-58.691974,115,13.439351
-90.150615,209,13.508666
-53.940476,84,13.538646
-83.857873,85,13.567934
-27.298653,125,13.727901
-61.239375,99,13.762157
-46.004624,101,13.79559
-57.083955,103,13.833467
-46.343326,113,13.871362
-15.123389,92,13.902389
