#{"t_start": 1779568677.324923, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
100.0,362,5.964134
125.0,527,9.062154
45.0,380,11.936602
110.0,591,16.356049
15.0,258,17.766655
70.0,439,20.333917
210.0,598,24.818908
165.0,497,28.35733
30.0,419,30.999262
50.0,302,32.832657
330.0,806,39.250228
40.0,414,41.788729
50.0,293,43.397456
5.0,339,45.441918
110.0,383,48.113306
110.0,411,51.198146
30.0,372,53.812458
285.0,731,58.371042
80.0,453,61.179051
120.0,572,65.851522
135.0,845,71.24321
155.0,476,74.243125
185.0,779,80.09337
80.0,524,83.290157
110.0,396,85.541011
215.0,774,91.626464
125.0,533,94.801863
70.0,605,98.541466
95.0,461,102.11931
250.0,934,108.426911
150.0,525,111.6838
110.0,487,115.568795
50.0,297,117.513703
160.0,617,121.376587
230.0,791,126.933039
110.0,490,130.749085
190.0,705,135.270357
220.0,780,141.43007
250.0,757,146.390351
215.0,696,150.664691
55.0,283,152.790577
285.0,1217,161.393829
135.0,703,166.869694
175.0,726,171.58952
360.0,681,175.875008
45.0,491,179.874573
270.0,568,183.776224
35.0,273,185.307894
55.0,271,186.815215
30.0,295,188.563255
450.0,805,194.75587
35.0,424,197.472901
415.0,605,201.113775
85.0,684,206.587177
50.0,403,208.911176
125.0,537,212.393604
150.0,408,214.863174
130.0,849,221.395885
135.0,505,224.521001
260.0,620,228.422325
125.0,475,232.516513
170.0,873,238.041397
170.0,585,241.83104
45.0,433,245.650876
85.0,580,249.303587
150.0,708,253.650438
290.0,805,259.93157
75.0,468,262.663209
25.0,316,264.595798
50.0,298,266.435387
95.0,495,270.699421
155.0,491,273.737296
335.0,717,278.454539
75.0,282,279.968187
120.0,511,284.289404
140.0,511,287.378968
335.0,952,293.782537
20.0,387,297.007168
35.0,338,298.957508
35.0,284,300.506173
110.0,373,307.353879
140.0,604,311.793036
160.0,533,315.11461
45.0,404,317.534087
55.0,654,322.752192
120.0,482,325.706459
155.0,633,329.652328
160.0,637,334.7112
20.0,470,337.59333
155.0,539,340.834848
95.0,498,343.874632
335.0,779,350.045407
55.0,379,352.345683
85.0,504,355.443629
385.0,639,360.6412
400.0,647,364.676291
100.0,468,367.657469
30.0,380,369.81256
255.0,736,375.452191
140.0,644,379.608111
5.0,266,381.459618
75.0,685,387.297411
150.0,943,393.800975
305.0,851,400.663878
30.0,370,402.960698
120.0,696,407.651817
30.0,704,413.622868
515.0,1032,420.9657
180.0,614,426.462613
575.0,1600,438.521608
155.0,606,442.68718
230.0,711,447.937027
10.0,374,451.323956
290.0,966,457.968805
760.0,1340,468.430166
160.0,482,471.592992
115.0,550,476.316529
420.0,957,483.043367
430.0,1033,491.115391
60.0,705,495.994097
105.0,291,497.809647
50.0,536,502.448817
140.0,579,506.285714
130.0,608,510.488868
370.0,849,517.430686
105.0,361,519.889585
155.0,819,526.294219
445.0,783,532.105193
110.0,506,535.585064
170.0,523,540.133929
550.0,873,546.135703
220.0,844,553.036042
415.0,930,559.48371
460.0,1256,569.516121
70.0,539,573.209801
280.0,915,580.611671
110.0,373,583.147599
170.0,622,587.360969
170.0,497,591.86173
220.0,615,595.943681
25.0,325,598.066286
410.0,923,605.771003
420.0,621,610.034165
170.0,720,615.268558
190.0,789,625.109446
260.0,948,632.786824
200.0,505,635.917916
130.0,501,639.218831
265.0,955,646.795474
305.0,856,652.465424
180.0,507,656.79476
115.0,488,660.002719
85.0,292,661.874077
115.0,530,665.299251
150.0,1198,674.649567
155.0,579,678.660486
225.0,1170,687.989523
325.0,1048,696.173023
160.0,678,700.712414
265.0,742,706.761761
140.0,512,710.112274
195.0,515,713.480256
210.0,693,719.238373
170.0,474,722.486563
175.0,472,725.538958
180.0,609,729.768462
575.0,1655,742.714791
300.0,859,749.835112
190.0,648,754.313684
465.0,1444,765.420546
215.0,921,772.853898
295.0,835,778.698486
450.0,722,784.622435
325.0,675,789.024563
105.0,488,792.198464
330.0,531,796.808994
235.0,911,802.878526
105.0,378,805.311325
95.0,311,807.657171
80.0,460,811.358874
495.0,945,817.974419
95.0,486,822.262154
250.0,688,826.848255
225.0,844,833.014739
340.0,819,839.28744
215.0,671,843.651166
270.0,954,851.160428
185.0,697,855.670074
120.0,406,858.771538
25.0,285,861.229018
185.0,534,864.743104
135.0,728,869.568227
255.0,783,876.033198
200.0,626,880.130878
380.0,616,885.041572
290.0,1077,892.940267
115.0,512,896.800715
375.0,733,902.634051
215.0,573,906.395431
380.0,603,911.27265
110.0,475,914.396448
255.0,610,918.384892
195.0,586,922.674792
395.0,776,928.604796
265.0,651,932.68278
445.0,998,940.417359
50.0,261,945.425002
325.0,788,951.750401
135.0,471,954.86483
120.0,673,959.453239
175.0,522,963.939351
255.0,627,968.128183
60.0,296,969.886465
360.0,695,975.655733
205.0,628,979.67023
150.0,478,982.843116
375.0,837,989.557685
225.0,497,992.858355
250.0,531,996.412132
230.0,801,1002.776438
115.0,353,1005.029855
285.0,768,1010.247294
130.0,506,1014.726109
285.0,875,1020.848481
245.0,722,1026.756922
25.0,371,1029.274647
385.0,789,1034.668151
285.0,810,1041.257848
160.0,445,1044.275733
295.0,786,1049.567163
250.0,854,1056.730047
175.0,721,1061.581533
290.0,705,1067.372757
280.0,838,1072.844737
590.0,997,1080.706484
135.0,386,1083.150331
225.0,725,1088.087733
265.0,633,1093.371829
215.0,596,1097.418077
245.0,774,1103.345105
120.0,600,1107.608192
285.0,610,1111.80909
125.0,497,1115.589367
5.0,231,1117.276129
205.0,716,1122.193222
200.0,530,1125.623523
225.0,1034,1133.726815
135.0,399,1136.425022
155.0,396,1138.949387
235.0,775,1145.334398
205.0,506,1148.723636
320.0,1309,1158.887609
120.0,481,1162.039864
320.0,841,1168.926016
95.0,282,1170.687006
260.0,749,1175.839954
240.0,638,1181.028054
110.0,498,1184.347519
190.0,619,1188.394798
230.0,630,1193.681378
250.0,648,1198.120305
325.0,903,1204.890961
455.0,902,1211.675977
220.0,501,1215.015757
290.0,696,1220.719655
110.0,509,1224.075187
215.0,614,1228.278612
225.0,677,1233.771901
290.0,684,1238.467595
115.0,376,1240.89817
240.0,818,1247.560579
260.0,613,1251.636492
235.0,1240,1264.500304
265.0,675,1270.077035
190.0,500,1273.597167
240.0,754,1278.665496
