#{"t_start": 1779572698.8340528, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
155.0,495,6.600399
300.0,704,13.114985
390.0,1031,21.564961
65.0,391,24.403167
140.0,551,28.345234
45.0,292,30.523477
170.0,625,36.150692
160.0,579,40.303781
505.0,840,47.713251
340.0,660,52.568679
80.0,380,55.091888
55.0,431,58.872764
80.0,318,61.588754
55.0,389,64.131316
145.0,438,67.236642
185.0,788,73.969886
205.0,732,79.396132
350.0,517,83.468138
130.0,429,86.87571
485.0,875,93.424535
130.0,483,98.083487
90.0,509,101.877858
305.0,498,105.561681
415.0,746,111.744436
195.0,689,116.874825
45.0,333,119.224322
105.0,388,123.11354
155.0,492,126.401975
120.0,659,131.493008
45.0,291,133.479983
95.0,376,136.803462
110.0,391,139.40121
90.0,474,142.927542
10.0,385,146.063803
75.0,419,149.944353
15.0,245,151.354087
155.0,695,156.324802
390.0,919,164.216518
120.0,463,167.469407
65.0,264,169.042992
160.0,513,173.885007
45.0,261,175.678555
60.0,329,177.611148
100.0,391,180.376146
455.0,767,187.168263
170.0,610,191.499364
105.0,377,194.24118
95.0,409,197.876592
95.0,377,200.576363
385.0,690,205.853597
40.0,270,207.422074
110.0,434,211.366122
40.0,405,214.001138
135.0,395,216.795021
135.0,530,220.746404
65.0,510,225.347302
105.0,487,228.903442
20.0,378,231.590544
125.0,486,235.351424
20.0,425,238.698961
580.0,753,244.479517
40.0,278,246.334456
140.0,465,250.618129
155.0,499,254.261922
50.0,265,255.886752
155.0,463,259.250912
130.0,369,262.859103
170.0,486,266.180091
100.0,418,269.107265
150.0,639,274.747816
120.0,475,278.142992
75.0,464,281.566188
110.0,758,287.922935
290.0,629,292.698645
55.0,367,295.420098
435.0,783,302.238049
535.0,775,308.03431
65.0,371,311.678744
245.0,568,315.81464
335.0,609,320.30531
210.0,558,325.162987
110.0,440,328.274611
155.0,514,331.743927
35.0,371,334.377728
130.0,401,338.26257
125.0,354,340.478709
345.0,867,351.004763
45.0,283,352.740362
285.0,716,358.330553
315.0,717,364.426733
145.0,673,369.307505
320.0,826,376.619046
560.0,1041,384.57451
110.0,430,388.851514
105.0,371,391.358727
15.0,254,393.088299
150.0,527,396.974488
65.0,444,400.893135
180.0,540,404.650313
160.0,535,408.398362
190.0,514,413.10107
130.0,481,416.60285
100.0,441,419.743163
115.0,516,423.87333
80.0,368,426.783345
505.0,831,433.197924
25.0,283,435.036946
175.0,469,439.355037
55.0,349,441.91076
205.0,511,445.596685
185.0,486,449.955491
65.0,249,451.5931
250.0,680,456.55722
295.0,813,463.438255
145.0,381,465.806762
65.0,256,467.614363
135.0,484,471.001732
150.0,475,474.820175
175.0,715,480.472288
105.0,377,482.788346
185.0,515,487.328396
105.0,388,490.504033
145.0,601,494.784147
160.0,509,498.549387
215.0,588,503.58835
90.0,457,506.822924
140.0,475,510.297104
260.0,635,515.64899
110.0,412,518.328536
220.0,636,523.267053
55.0,360,526.580741
90.0,428,529.525497
65.0,389,532.365795
405.0,723,538.533271
160.0,393,541.318558
235.0,432,544.056829
200.0,640,548.510879
235.0,869,556.19767
140.0,525,559.940236
285.0,643,565.735231
50.0,296,567.972131
205.0,527,571.792939
305.0,652,577.417852
285.0,662,582.159544
125.0,406,585.107996
140.0,369,588.235862
305.0,654,593.55672
475.0,640,598.64657
225.0,795,605.631433
185.0,463,609.285738
225.0,579,614.595134
270.0,603,619.098769
355.0,680,623.994854
475.0,1334,634.983786
235.0,507,639.155643
125.0,453,642.697664
310.0,753,647.990557
145.0,444,651.583743
205.0,614,656.309372
75.0,284,658.112365
270.0,674,663.319963
90.0,368,666.628465
70.0,382,669.397445
270.0,597,673.693556
400.0,741,679.90485
120.0,387,682.675178
90.0,295,684.459876
360.0,522,688.528117
185.0,524,697.740413
160.0,385,700.647254
530.0,833,707.544418
135.0,456,710.868095
225.0,566,715.886633
515.0,1003,723.223396
140.0,464,726.883297
360.0,725,732.576748
215.0,614,736.970727
245.0,557,741.924222
250.0,569,745.847517
495.0,826,752.317661
355.0,714,757.723406
390.0,796,763.88149
390.0,674,769.605076
135.0,519,773.258887
355.0,883,780.438251
530.0,1079,788.540705
310.0,724,794.746362
410.0,723,799.811645
85.0,469,804.06672
280.0,617,808.531681
25.0,288,810.675383
295.0,826,817.519662
115.0,369,820.067903
465.0,984,827.749513
190.0,583,832.537268
230.0,598,836.826319
260.0,666,842.587661
105.0,394,845.32263
110.0,385,847.63106
335.0,760,854.014407
300.0,808,859.988897
285.0,566,864.004731
435.0,710,870.154759
290.0,645,874.634724
65.0,401,877.257249
155.0,502,881.704786
370.0,706,886.84589
65.0,354,889.11655
375.0,596,894.200598
685.0,898,900.725391
110.0,417,904.239048
510.0,860,910.698073
125.0,447,913.771256
295.0,634,919.203389
175.0,450,922.292186
100.0,471,925.532777
90.0,290,927.241066
130.0,489,931.571161
550.0,961,938.633928
610.0,792,945.210317
295.0,535,948.923984
95.0,323,951.196232
305.0,663,956.904084
465.0,619,961.377034
345.0,641,965.87344
190.0,606,971.332398
240.0,483,974.476591
285.0,671,979.583082
325.0,701,985.121323
350.0,759,990.426541
260.0,558,995.242797
535.0,658,999.873511
295.0,604,1004.593357
75.0,334,1007.361482
505.0,907,1013.876899
230.0,545,1018.259239
200.0,461,1021.664002
455.0,919,1032.714019
140.0,393,1035.335475
580.0,1123,1044.335483
